Hab,Species,LS,LPC,Light,Assc,SLA
Hab1,TA,Sapling,0.756194252,ST,No,304.1091047
Hab1,TA,Sapling,0.974231913,ST,No,442.1951957
Hab1,TA,Sapling,0.845391477,ST,No,233.3340656
Hab1,TA,Sapling,1.301288404,ST,No,211.9525022
Hab3,TA,Sapling,0.96432111,ST,No,168.5649248
Hab3,TA,Sapling,1.013875124,ST,No,343.3031517
Hab1,TA,Sapling,0.96432111,ST,No,183.9866712
Hab1,TA,Sapling,0.904856293,ST,No,182.3071849
Hab3,TA,Sapling,0.67690783,ST,No,422.7854908
Hab3,TA,Sapling,0.756194252,ST,No,165.684688
Hab3,TA,Sapling,0.96432111,ST,No,452.889963
Hab1,TA,Sapling,1.261645193,ST,No,330.9354729
Hab2,TA,Sapling,1.192269574,ST,No,554.1050814
Hab2,TA,Sapling,0.974231913,ST,No,451.8740942
Hab3,TA,Sapling,0.726461843,ST,No,144.2332451
Hab2,TA,Sapling,0.96432111,ST,No,365.8655575
Hab1,TA,Sapling,0.924677899,ST,No,413.450411
Hab3,TA,Sapling,0.904856293,ST,No,463.2714091
Hab3,TA,Sapling,0.924677899,ST,No,477.523587
Hab2,TA,Sapling,0.885034688,ST,No,387.7747193
Hab1,TA,Sapling,1.222001982,ST,No,382.4705011
Hab2,TA,Sapling,0.835480674,ST,No,412.9859481
Hab2,TA,Sapling,0.736372646,ST,No,255.6072397
Hab3,TA,Sapling,0.736372646,ST,No,297.0421001
Hab2,TA,Sapling,0.67690783,ST,No,349.7946401
Hab3,TA,Sapling,0.875123885,ST,No,403.1348911
Hab3,UL,Adult,0.627353816,MT,No,342.2247538
Hab2,UL,Adult,0.776015857,MT,No,462.2266395
Hab2,UL,Adult,0.716551041,MT,No,309.4888077
Hab3,UL,Adult,0.716551041,MT,No,231.3670958
Hab3,UL,Adult,0.67690783,MT,No,129.8934832
Hab3,UL,Adult,0.795837463,MT,No,294.7807896
Hab3,UL,Adult,0.78592666,MT,No,140.702008
Hab2,UL,Adult,0.766105055,MT,No,227.7187793
Hab3,UL,Adult,0.706640238,MT,No,219.8480777
Hab2,UL,Adult,0.647175421,MT,No,410.8417301
Hab1,UL,Adult,0.548067393,MT,No,216.3693388
Hab2,UL,Adult,0.647175421,MT,No,212.4198644
Hab1,UL,Adult,0.548067393,MT,No,150.0499879
Hab2,UL,Adult,0.805748266,MT,No,193.5067111
Hab3,UL,Adult,0.855302279,MT,No,184.0886685
Hab1,UL,Adult,0.577799802,MT,No,178.0067893
Hab1,UL,Adult,0.666997027,MT,No,256.2280211
Hab1,UL,Adult,0.67690783,MT,No,175.3807681
Hab3,UL,Adult,0.805748266,MT,No,282.658349
Hab1,UL,Adult,0.67690783,MT,No,150.3853379
Hab3,UL,Adult,0.944499504,MT,No,253.6618161
Hab1,UL,Adult,0.67690783,MT,No,173.6273528
Hab2,UL,Adult,0.557978196,MT,No,152.7328278
Hab1,UL,Adult,0.716551041,MT,No,277.402039
Hab2,UL,Adult,0.815659068,MT,No,268.5908087
Hab3,UL,Adult,0.746283449,MT,No,168.5049165
Hab2,UL,Adult,0.805748266,MT,No,232.2854639
Hab2,UL,Adult,0.776015857,MT,No,168.1346676
Hab1,UL,Sapling,0.78592666,MT,Yes,222.9992112
Hab3,UL,Sapling,1.202180377,MT,No,184.9937751
Hab2,UL,Sapling,0.885034688,MT,No,166.271791
Hab1,UL,Sapling,0.815659068,MT,Yes,162.1849785
Hab2,UL,Sapling,1.222001982,MT,No,206.7171238
Hab2,UL,Sapling,0.766105055,MT,No,208.2857547
Hab1,UL,Sapling,0.795837463,MT,Yes,159.3374946
Hab2,UL,Sapling,0.96432111,MT,No,155.4262609
Hab1,UL,Sapling,0.984142716,MT,Yes,244.9275284
Hab1,UL,Sapling,0.805748266,MT,Yes,173.5157694
Hab1,UL,Sapling,1.003964321,MT,Yes,174.12175
Hab1,UL,Sapling,0.855302279,MT,Yes,203.7118552
Hab2,UL,Sapling,0.954410307,MT,No,145.1104857
Hab1,UL,Sapling,0.67690783,MT,Yes,288.3135346
Hab3,UL,Sapling,0.756194252,MT,No,274.7205055
Hab3,UL,Sapling,1.013875124,MT,No,279.9137499
Hab2,UL,Sapling,1.093161546,MT,No,207.3722393
Hab3,UL,Sapling,0.736372646,MT,No,141.7313824
Hab3,UL,Sapling,0.766105055,MT,No,229.9188219
Hab2,UL,Sapling,0.756194252,MT,No,247.9448658
Hab2,UL,Sapling,0.934588702,MT,No,177.3324472
Hab1,UL,Sapling,1.043607532,MT,Yes,173.1568977
Hab1,UL,Sapling,1.122893954,MT,Yes,312.2399759
Hab3,UL,Sapling,0.845391477,MT,No,317.2274651
Hab2,UL,Sapling,0.795837463,MT,No,365.4381244
Hab3,UL,Sapling,0.795837463,MT,No,361.6868961
Hab3,UL,Sapling,1.003964321,MT,No,326.6458314
Hab2,UL,Sapling,0.736372646,MT,No,119.8711165
